PSAP ID,PSAP Name,State,County,City,Type of Change,Comments
3,Alakanuk Police Department,AK,Wade Hampton Census Area,Alakanuk,NC,
34,Alaska Region Communications Center,AK,Matanuska-susitna Borough,Denali National Park,M,"PSAP Name, State, County or City text has been modified since the original posting of the FCC Registry."
8410,Alaska State Troopers Anchorage Post - C Detatchment,AK,Bethel,Anchorage,A,PSAP was added since the original posting of the FCC Registry.
6,Alaska State Troopers Fairbanks Post - D Detatchment,AK,Fairbanks-north Star Borough,Fairbanks,M,"PSAP Name, State, County or City text has been modified since the original posting of the FCC Registry."
5,Alaska State Troopers Ketchikan Post - A Detatchment,AK,Prince Of Wales-outer Ketchikan,Ketchikan,M,"PSAP Name, State, County or City text has been modified since the original posting of the FCC Registry."
4,Alaska State Troopers Soldotna Post - E Detatchment,AK,Kenai Peninsula Borough,Soldotna,M,"PSAP Name, State, County or City text has been modified since the original posting of the FCC Registry."
7,Anchor Point Volunteer Fire And Rescue Inc,AK,Kenai Peninsula Borough,Anchor Point,O,Orphaned PSAP no longer considered a primary call taking answering point. Refrain from using these in future filings.
8,Anchorage Fire Department,AK,Anchorage Borough,Anchorage,NC,
10,Anchorage Police Department,AK,Anchorage Borough,Anchorage,M,"PSAP Name, State, County or City text has been modified since the original posting of the FCC Registry."
11,Anderson Volunteer Fire Department-ems,AK,Yukon-koyukuk Census Area,Anderson,NC,
12,Angoon Public Safety,AK,Skagway-yakutat-angoon Census Area,Angoon,NC,
13,Aniak Volunteer Fire Department,AK,Bethel Census Area,Aniak,NC,
14,Atqasuk Volunteer Fire Department,AK,North Slope Borough,Atqasuk,NC,
15,Barrow Volunteer Fire Department,AK,North Slope Borough,Barrow,NC,
16,Bassett Army Community Hospital,AK,Fairbanks-north Star Borough,Fort Wainwright,NC,
17,Bear Creek Volunteer Fire And Rescue,AK,Kenai Peninsula Borough,Seward,O,Orphaned PSAP no longer considered a primary call taking answering point. Refrain from using these in future filings.
18,Bethel Fire Department Ambulance Service,AK,Bethel Census Area,Bethel,NC,
19,Bethel Police Department,AK,Bethel Census Area,Bethel,M,"PSAP Name, State, County or City text has been modified since the original posting of the FCC Registry."
20,Bristol Bay Borough Police Department,AK,Bristol Bay Borough,King Salmon,M,"PSAP Name, State, County or City text has been modified since the original posting of the FCC Registry."
21,Cantwell Volunteer Ambulances,AK,Yukon-koyukuk Census Area,Cantwell,NC,
22,Capital City Fire-rescue,AK,Juneau Borough,Juneau,O,Orphaned PSAP no longer considered a primary call taking answering point. Refrain from using these in future filings.
23,Central Emergency Services,AK,Kenai Peninsula Borough,Soldotna,O,Orphaned PSAP no longer considered a primary call taking answering point. Refrain from using these in future filings.
24,Central Rescue Squad,AK,Yukon-koyukuk Census Area,Central,NC,
25,Chena Goldstream Fire And Rescue,AK,Fairbanks-north Star Borough,Fairbanks,NC,
26,Chiniak Emergency Medical Services,AK,Kodiak Island Borough,Kodiak,NC,
27,Chugiak Volunteer Fire And Rescue Department,AK,Anchorage Borough,Anchorage,NC,
8298,City Of Thunder Bay,AK,Prince Of Wales-outer Ketchikan,Thorne Bay,A,PSAP was added since the original posting of the FCC Registry.
